,latitude,longitude,depth,mag,labels
0,6.9174,124.7976,10.0,4.0,1
1,6.7421,124.9735,10.0,4.5,1
2,7.3847,124.8093,10.0,4.7,1
3,6.7156,124.9668,10.0,4.4,1
4,6.8481,124.9196,13.27,4.8,1
5,6.8457,124.9932,10.0,5.4,1
6,6.7918,124.9621,10.0,4.4,1
7,6.9481,124.881,10.0,4.8,1
8,6.8659,124.9846,10.0,5.9,1
9,6.7182,124.9719,10.0,5.1,1
10,6.8376,124.8947,13.29,4.3,1
11,6.8504,124.8669,14.08,4.6,1
12,6.7323,124.9942,12.86,4.5,1
13,6.7345,124.9692,10.0,4.5,1
14,6.73,124.9577,10.0,4.5,1
15,6.7253,124.94,10.0,4.3,1
16,6.8171,124.9636,10.0,4.9,1
17,6.7966,124.9652,10.0,4.4,1
18,6.7977,124.9055,10.0,4.8,1
19,7.4196,124.5795,10.0,4.4,1
20,7.2664,124.6802,10.0,4.5,1
21,6.922000000000001,123.8771,56.65,4.9,1
22,7.1591,124.9877,30.04,4.5,1
23,6.8793,124.9897,4.31,4.4,1
25,7.7599,123.867,600.71,6.0,1
27,7.7248,124.6104,378.13,4.3,1
29,7.5727,124.7236,35.0,4.3,1
30,8.0694,124.7358,10.0,5.0,1
31,7.2874,124.5131,402.16,4.1,1
33,7.2643,124.7848,26.36,4.4,1
34,7.3795,124.73200000000001,13.87,4.4,1
35,7.4074,124.7802,10.0,4.4,1
36,7.5618,124.7428,8.18,5.7,1
37,7.5429,124.7405,35.58,4.6,1
38,7.562,124.6944,10.0,4.6,1
39,7.5002,124.64399999999999,10.0,4.2,1
40,7.5539,124.67,10.0,4.4,1
41,7.0965,124.2461,52.68,4.4,1
44,7.3828,123.8666,606.67,4.4,1
45,7.0836,124.0155,147.03,4.2,1
49,6.9873,124.9495,19.05,4.7,1
51,7.2718,124.749,12.63,4.7,1
52,7.1039,124.1287,562.15,4.3,1
53,7.0553,124.3107,485.15,4.0,1
54,7.0938,124.7189,372.1,4.5,1
55,7.1944,124.8779,26.35,4.4,1
56,6.6723,124.7589,10.0,4.4,1
57,7.5360000000000005,124.656,10.0,4.2,1
58,7.067,123.863,64.3,4.2,1
