,latitude,longitude,depth,mag,new_label
5,6.8457,124.9932,10.0,5.4,2
8,6.8659,124.9846,10.0,5.9,2
9,6.7182,124.9719,10.0,5.1,2
16,6.8171,124.9636,10.0,4.9,2
21,6.922000000000001,123.8771,56.65,4.9,2
30,8.0694,124.7358,10.0,5.0,2
36,7.5618,124.7428,8.18,5.7,2
60,7.282,124.928,10.0,5.5,2
61,7.315,124.889,10.0,5.0,2
64,7.275,124.898,10.0,5.6,2
65,7.26,124.928,56.4,5.1,2
72,6.9479999999999995,124.025,20.0,6.0,2
75,7.857,124.215,43.6,4.9,2
83,6.851,123.89299999999999,54.2,5.0,2
94,6.7010000000000005,123.905,47.1,5.3,2
101,7.593,124.022,33.0,5.6,2
168,6.834,124.006,33.0,6.2,2
170,6.685,124.712,28.5,5.1,2
171,6.667000000000001,124.727,25.3,5.4,2
172,6.687,124.70299999999999,33.0,4.9,2
173,6.666,124.693,27.1,5.1,2
180,6.8020000000000005,123.97,51.7,5.6,2
181,7.841,124.67399999999999,56.4,5.1,2
185,6.776,124.24,33.0,5.0,2
186,7.12,124.777,27.9,5.0,2
188,7.6739999999999995,124.531,33.0,5.2,2
191,7.601,124.38799999999999,11.1,5.9,2
194,7.115,123.87799999999999,33.0,5.4,2
195,7.405,124.575,42.1,5.6,2
198,6.776,123.92299999999999,40.0,4.9,2
199,6.6770000000000005,123.89399999999999,44.0,5.5,2
201,7.362,124.23200000000001,44.0,5.1,2
205,6.686,123.949,65.0,5.1,2
206,6.712999999999999,123.87100000000001,24.0,5.1,2
207,6.682,123.98200000000001,46.0,5.6,2
213,6.867000000000001,123.976,45.0,5.5,2
214,6.934,123.875,30.0,5.9,2
215,6.681,124.00200000000001,75.0,5.2,2
216,6.855,124.213,37.0,4.9,2
217,6.922000000000001,124.069,41.0,6.0,2
218,6.8420000000000005,124.169,49.0,5.2,2
220,6.705,123.921,33.0,5.3,2
224,6.978,123.934,63.0,5.0,2
225,6.819,123.867,54.0,5.2,2
227,6.815,123.969,33.0,5.1,2
229,7.322,124.876,46.0,5.1,2
230,6.688,124.085,73.0,4.9,2
