,latitude,longitude,depth,mag,labels
24,5.6615,121.6336,50.9,4.8,0
26,6.2195,120.3065,10.0,4.7,0
28,6.0253,120.4329,10.0,4.5,0
32,6.0182,120.0397,50.87,4.9,0
42,5.6164,120.4093,15.46,4.3,0
43,5.5723,120.5155,14.92,4.1,0
46,6.1299,119.965,15.5,4.4,0
47,6.1021,119.9546,16.96,4.6,0
48,6.0816,119.8398,9.0,5.7,0
50,5.0234,120.7759,14.78,5.1,0
67,5.64,121.04799999999999,10.0,4.7,0
68,5.7,121.79899999999999,35.0,4.9,0
69,5.6739999999999995,121.803,35.0,4.5,0
86,5.664,121.96700000000001,81.4,4.8,0
100,5.438,121.898,33.0,4.7,0
102,5.669,122.195,33.0,5.0,0
105,5.494,121.93799999999999,33.0,4.8,0
109,5.481,121.984,33.0,5.0,0
111,5.337000000000001,121.634,33.0,4.3,0
112,5.1370000000000005,121.809,33.0,4.2,0
113,5.212999999999999,121.896,33.0,4.3,0
114,5.436,122.02600000000001,33.0,4.6,0
115,5.456,122.07,33.0,4.3,0
116,5.495,122.055,33.0,4.3,0
117,5.565,122.115,33.0,4.1,0
118,5.285,121.84100000000001,33.0,4.0,0
119,5.433,122.265,33.0,4.2,0
120,5.49,121.912,33.0,4.8,0
121,5.521,122.072,33.0,5.1,0
122,5.44,121.912,33.0,4.5,0
123,5.438,122.016,33.0,4.0,0
124,5.507000000000001,122.181,33.0,4.4,0
125,5.303,122.208,33.0,4.5,0
126,5.276,122.296,33.0,4.4,0
127,5.2589999999999995,122.27600000000001,33.0,4.6,0
128,5.2,122.23200000000001,33.0,4.5,0
129,5.228,121.89,33.0,4.2,0
130,5.224,122.116,33.0,4.9,0
131,5.3660000000000005,121.906,32.5,5.2,0
132,5.436,122.289,33.0,4.4,0
133,5.441,122.227,33.0,4.4,0
134,5.181,122.016,33.0,4.2,0
135,5.432,122.198,33.0,4.6,0
136,5.255,122.16799999999999,33.0,5.9,0
137,5.425,121.98200000000001,33.0,4.4,0
138,5.364,122.051,33.0,4.6,0
139,5.459,121.947,33.0,4.7,0
140,5.3420000000000005,122.212,33.0,4.5,0
141,5.336,122.00299999999999,33.0,4.7,0
142,5.184,121.845,33.0,4.4,0
143,5.343,122.315,33.0,4.2,0
144,5.356,122.06299999999999,33.0,4.6,0
145,5.187,121.85700000000001,33.0,4.4,0
146,5.4670000000000005,122.265,33.0,4.4,0
147,5.369,122.045,33.0,4.4,0
148,5.4510000000000005,121.765,33.0,4.3,0
149,5.218999999999999,121.758,33.0,4.6,0
150,5.397,121.93700000000001,33.0,7.1,0
166,6.215,120.23,46.2,5.2,0
178,6.695,122.54,33.0,4.5,0
193,4.765,122.46700000000001,341.0,4.2,0
210,6.747999999999999,122.23100000000001,60.0,5.0,0
228,6.041,119.771,33.0,4.5,0
