desc_year,latitude,longitude,depth,mag,new_label
0,6.9174,124.7976,10,4,mid-risk
1,6.7421,124.9735,10,4.5,mid-risk
2,7.3847,124.8093,10,4.7,mid-risk
3,6.7156,124.9668,10,4.4,mid-risk
4,6.8481,124.9196,13.27,4.8,mid-risk
6,6.7918,124.9621,10,4.4,mid-risk
7,6.9481,124.881,10,4.8,mid-risk
10,6.8376,124.8947,13.29,4.3,mid-risk
11,6.8504,124.8669,14.08,4.6,mid-risk
12,6.7323,124.9942,12.86,4.5,mid-risk
13,6.7345,124.9692,10,4.5,mid-risk
14,6.73,124.9577,10,4.5,mid-risk
15,6.7253,124.94,10,4.3,mid-risk
17,6.7966,124.9652,10,4.4,mid-risk
18,6.7977,124.9055,10,4.8,mid-risk
19,7.4196,124.5795,10,4.4,mid-risk
20,7.2664,124.6802,10,4.5,mid-risk
22,7.1591,124.9877,30.04,4.5,mid-risk
23,6.8793,124.9897,4.31,4.4,mid-risk
29,7.5727,124.7236,35,4.3,mid-risk
33,7.2643,124.7848,26.36,4.4,mid-risk
34,7.3795,124.732,13.87,4.4,mid-risk
35,7.4074,124.7802,10,4.4,mid-risk
37,7.5429,124.7405,35.58,4.6,mid-risk
38,7.562,124.6944,10,4.6,mid-risk
39,7.5002,124.644,10,4.2,mid-risk
40,7.5539,124.67,10,4.4,mid-risk
41,7.0965,124.2461,52.68,4.4,mid-risk
45,7.0836,124.0155,147.03,4.2,mid-risk
49,6.9873,124.9495,19.05,4.7,mid-risk
51,7.2718,124.749,12.63,4.7,mid-risk
55,7.1944,124.8779,26.35,4.4,mid-risk
56,6.6723,124.7589,10,4.4,mid-risk
57,7.536,124.656,10,4.2,mid-risk
58,7.067,123.863,64.3,4.2,mid-risk
59,7.16,124.944,21.3,4.6,mid-risk
62,7.263,124.819,11,4.3,mid-risk
63,7.369,124.564,10,4.3,mid-risk
66,6.902,124.039,61.7,4.4,mid-risk
71,6.894,124.02,56.2,4.7,mid-risk
73,6.667,123.872,59.1,4.7,mid-risk
74,7.501,124.412,43.6,4.4,mid-risk
76,6.884,124.501,24,4.7,mid-risk
82,7.317,124.053,10,4.5,mid-risk
84,6.872,123.986,63.1,4.6,mid-risk
85,7.831,124.268,85.7,4.7,mid-risk
90,6.971,123.87,51.2,4.4,mid-risk
92,7.048,124.508,33,4.6,mid-risk
103,6.707,124.065,33,4.6,mid-risk
106,7.899,124.247,33,4.1,mid-risk
107,7.46,124.29,28.3,4.4,mid-risk
110,7.281,124.241,33,4.3,mid-risk
152,7.7,123.912,33,4,mid-risk
156,7.394,124.325,33,3.8,mid-risk
157,7.804,124.606,47.1,4.2,mid-risk
158,7.407,124.031,33,4.1,mid-risk
160,7.592,124.315,11.8,4.5,mid-risk
161,7.367,124.963,10,3.8,mid-risk
162,7.27,124.149,33,4,mid-risk
163,6.769,124.661,10,4.7,mid-risk
164,7.313,124.4,30.8,4.2,mid-risk
