REGION,PSGC_REGI,PROVINCE,PSGC_PROV,MUNICIPALITY/CITY,PSGC_CITY/MUNI,POPULATION
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,Akbar,PH150708000,17531
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,Al-Barka,PH150709000,20905
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,City Of Lamitan,PH150702000,74782
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,Hadji Mohammad Ajul,PH150710000,19307
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,Hadji Muhtamad,PH150712000,25085
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,Lantawan,PH150703000,24594
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,Maluso,PH150704000,40646
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,Sumisip,PH150705000,41730
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,Tabuan-Lasa,PH150713000,24188
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,Tipo-Tipo,PH150706000,19163
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,Tuburan,PH150707000,20207
Autonomous Region In Muslim Mindanao,PH150000000,Basilan,PH150700000,Ungkaya Pukan,PH150711000,18441
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Bacolod-Kalawi (Bacolod Grande),PH153601000,20841
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Balabagan,PH153602000,26819
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Balindong (Watu),PH153603000,29180
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Bayang,PH153604000,23965
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Binidayan,PH153605000,22079
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Buadiposo-Buntong,PH153633000,16130
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Bubong,PH153606000,22336
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Bumbaran,PH153637000,10401
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Butig,PH153607000,19302
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Calanogas,PH153632000,13750
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Ditsaan-Ramain,PH153624000,22299
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Ganassi,PH153609000,23016
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Kapai,PH153610000,18894
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Kapatagan,PH153639000,15521
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Lumba-Bayabao (Maguing),PH153611000,36151
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Lumbaca-Unayan,PH153641000,7260
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Lumbatan,PH153612000,19105
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Lumbayanague,PH153636000,16372
Autonomous Region In Muslim Mindanao,PH150000000,Lanao Del Sur,PH153600000,Madalum,PH153613000,23127
